exec_time,total
3.927000,7.049
7.031000,
3.195000,
2.978000,
2.928000,
2.868000,
6.992000,
6.875000,
7.265000,
6.155000,
6.695000,
7.452000,
7.547000,
6.750000,
7.018000,
2.540000,
3.286000,
2.758000,
2.910000,
2.687000,
6.504000,
6.844000,
7.331000,
6.334000,
2.350000,
3.219000,
6.996000,
6.933000,
6.371000,
6.789000,
6.915000,
2.815000,
2.025000,
6.806000,
6.701000,
6.751000,
7.071000,
2.496000,
2.333000,
6.774000,
7.074000,
6.602000,
7.131000,
6.579000,
2.635000,
3.092000,
8.010000,
2.950000,
2.846000,
2.735000,
6.670000,
7.279000,
7.657000,
8.668000,
3.447000,
7.975000,
7.198000,
2.657000,
3.100000,
2.434000,
6.976000,
6.275000,
6.920000,
6.457000,
2.822000,
2.253000,
6.441000,
6.919000,
6.875000,
7.381000,
2.350000,
3.099000,
2.673000,
6.675000,
6.178000,
6.828000,
2.748000,
2.624000,
6.436000,
6.450000,
7.095000,
6.857000,
6.871000,
2.945000,
3.169000,
2.365000,
6.913000,
6.944000,
6.735000,
6.872000,
6.601000,
2.880000,
2.883000,
7.352000,
6.867000,
6.591000,
6.052000,
6.858000,
2.613000,
6.653000,
6.881000,
6.613000,
6.938000,
7.071000,
2.259000,
2.209000,
6.810000,
7.239000,
6.719000,
6.360000,
7.375000,
2.700000,
2.917000,
2.056000,
6.687000,
6.616000,
2.550000,
2.991000,
2.863000,
6.591000,
6.477000,
6.114000,
2.418000,
2.477000,
6.589000,
6.007000,
2.203000,
6.709000,
6.122000,
2.194000,
2.327000,
6.304000,
6.203000,
2.475000,
6.443000,
6.442000,
6.691000,
2.244000,
2.447000,
6.431000,
6.958000,
6.509000,
1.997000,
6.355000,
6.131000,
2.634000,
2.318000,
6.645000,
6.403000,
2.267000,
2.135000,
6.380000,
6.132000,
2.231000,
6.321000,
6.365000,
2.545000,
2.578000,
6.422000,
6.065000,
2.360000,
2.558000,
6.474000,
6.795000,
6.339000,
2.464000,
2.676000,
6.748000,
6.518000,
6.242000,
2.355000,
6.039000,
7.142000,
6.106000,
2.474000,
2.516000,
6.429000,
6.491000,
6.426000,
2.695000,
2.664000,
6.391000,
6.676000,
6.634000,
6.832000,
2.395000,
2.518000,
6.684000,
6.375000,
6.757000,
6.763000,
6.520000,
2.363000,
7.056000,
6.617000,
6.586000,
5.880000,
2.715000,
2.352000,
7.033000,
6.573000,
6.882000,
6.655000,
6.507000,
2.603000,
2.609000,
7.025000,
6.859000,
6.803000,
7.173000,
6.772000,
6.592000,
2.220000,
2.512000,
6.428000,
7.069000,
6.594000,
6.557000,
6.788000,
7.368000,
2.049000,
6.093000,
6.496000,
6.619000,
2.334000,
2.498000,
6.536000,
6.533000,
6.655000,
2.422000,
2.812000,
6.236000,
6.904000,
6.675000,
6.567000,
2.402000,
2.439000,
6.540000,
6.429000,
6.446000,
6.769000,
2.876000,
2.307000,
6.438000,
6.778000,
6.695000,
6.420000,
2.615000,
2.789000,
6.189000,
6.613000,
6.821000,
2.540000,
2.718000,
3.147000,
2.573000,
6.673000,
6.748000,
6.578000,
6.688000,
2.433000,
6.370000,
6.800000,
6.426000,
6.889000,
2.336000,
2.427000,
6.140000,
6.580000,
2.232000,
2.539000,
6.817000,
6.161000,
6.552000,
2.174000,
6.113000,
6.422000,
6.525000,
2.915000,
2.276000,
6.147000,
6.764000,
6.556000,
2.573000,
2.741000,
2.359000,
6.288000,
6.544000,
6.518000,
2.610000,
2.377000,
6.435000,
6.102000,
2.314000,
2.483000,
6.638000,
6.431000,
6.529000,
2.246000,
1.951000,
6.237000,
2.241000,
2.731000,
6.445000,
6.500000,
6.798000,
6.801000,
6.864000,
2.562000,
2.406000,
6.554000,
6.613000,
6.790000,
6.464000,
2.634000,
2.619000,
6.543000,
6.490000,
6.287000,
2.537000,
3.027000,
3.237000,
2.461000,
6.652000,
7.182000,
6.627000,
6.838000,
6.848000,
6.589000,
2.561000,
3.279000,
2.430000,
6.875000,
6.462000,
6.593000,
6.796000,
6.809000,
6.921000,
2.717000,
2.430000,
6.395000,
6.548000,
2.294000,
2.724000,
3.143000,
7.022000,
6.152000,
6.446000,
6.635000,
2.614000,
2.432000,
6.401000,
6.860000,
6.605000,
2.703000,
2.457000,
6.621000,
6.861000,
6.020000,
2.610000,
2.177000,
7.068000,
7.262000,
7.806000,
7.854000,
2.861000,
6.831000,
6.312000,
6.704000,
2.178000,
2.542000,
6.000000,
6.603000,
6.946000,
1.882000,
6.394000,
6.422000,
6.607000,
2.571000,
3.372000,
5.444000,
6.124000,
6.819000,
2.591000,
2.253000,
6.374000,
6.870000,
6.622000,
6.640000,
3.034000,
2.916000,
2.893000,
2.681000,
6.769000,
6.707000,
6.621000,
6.967000,
6.843000,
6.604000,
2.594000,
2.786000,
2.595000,
7.298000,
6.938000,
6.535000,
6.650000,
6.339000,
2.226000,
6.666000,
6.974000,
6.207000,
6.751000,
2.235000,
6.590000,
6.157000,
1.997000,
2.272000,
6.471000,
6.351000,
2.367000,
5.753000,
6.516000,
2.256000,
1.801000,
6.467000,
6.556000,
2.211000,
6.509000,
5.842000,
2.209000,
6.232000,
5.909000,
1.826000,
6.364000,
6.428000,
2.435000,
2.490000,
6.511000,
6.496000,
2.300000,
1.972000,
6.216000,
2.057000,
2.295000,
5.918000,
6.505000,
1.906000,
6.366000,
6.298000,
2.481000,
2.074000,
6.704000,
6.135000,
2.541000,
5.721000,
5.885000,
2.386000,
6.719000,
6.210000,
6.210000,
2.498000,
6.713000,
6.424000,
6.578000,
2.149000,
2.828000,
6.417000,
6.617000,
6.471000,
2.474000,
2.123000,
6.397000,
6.632000,
6.486000,
2.505000,
6.575000,
6.516000,
6.747000,
6.168000,
2.370000,
6.225000,
6.469000,
6.512000,
2.481000,
6.486000,
6.136000,
6.365000,
2.150000,
6.242000,
6.361000,
2.584000,
2.152000,
6.395000,
6.549000,
6.807000,
2.541000,
2.354000,
6.197000,
6.235000,
2.122000,
6.016000,
6.476000,
2.780000,
2.137000,
6.111000,
6.346000,
2.223000,
6.727000,
6.010000,
6.376000,
2.839000,
2.203000,
6.635000,
6.770000,
6.591000,
2.557000,
2.692000,
6.487000,
7.144000,
6.828000,
6.736000,
6.839000,
2.899000,
2.445000,
6.787000,
6.512000,
6.550000,
6.758000,
2.454000,
6.274000,
6.505000,
6.124000,
2.100000,
6.629000,
6.674000,
6.238000,
2.657000,
2.877000,
6.412000,
6.060000,
2.719000,
2.241000,
6.215000,
5.890000,
2.381000,
6.321000,
6.199000,
2.623000,
2.313000,
6.025000,
6.252000,
1.998000,
6.182000,
6.198000,
2.515000,
2.539000,
6.543000,
6.491000,
7.018000,
2.768000,
2.254000,
6.898000,
6.309000,
6.064000,
2.712000,
2.783000,
6.970000,
6.861000,
6.101000,
6.701000,
2.402000,
2.381000,
6.387000,
7.010000,
2.273000,
2.333000,
6.957000,
6.348000,
6.431000,
2.585000,
2.991000,
6.478000,
3.124000,
6.611000,
2.154000,
7.189000,
6.680000,
5.913000,
6.936000,
2.498000,
2.618000,
5.919000,
6.218000,
2.472000,
2.757000,
6.517000,
6.863000,
6.526000,
2.150000,
2.759000,
6.728000,
7.008000,
6.197000,
7.210000,
2.370000,
2.189000,
6.681000,
6.610000,
6.774000,
6.619000,
7.704000,
2.167000,
2.352000,
6.717000,
6.576000,
6.709000,
7.120000,
2.543000,
2.459000,
6.493000,
6.026000,
2.445000,
2.969000,
6.366000,
6.454000,
6.716000,
6.570000,
2.355000,
6.752000,
7.005000,
6.157000,
2.313000,
2.495000,
6.703000,
6.252000,
6.407000,
2.116000,
6.084000,
6.751000,
2.474000,
2.349000,
6.577000,
6.480000,
6.376000,
2.799000,
2.706000,
6.144000,
6.448000,
2.387000,
2.500000,
6.925000,
7.106000,
6.919000,
6.816000,
6.501000,
6.921000,
2.137000,
3.269000,
2.627000,
2.292000,
6.416000,
7.273000,
6.737000,
6.440000,
1.895000,
6.636000,
7.046000,
7.075000,
7.261000,
6.764000,
6.460000,
2.406000,
6.572000,
6.479000,
6.953000,
6.560000,
2.383000,
2.792000,
6.281000,
6.285000,
2.162000,
2.925000,
6.783000,
6.568000,
6.578000,
6.320000,
2.867000,
2.575000,
6.863000,
6.539000,
6.820000,
6.812000,
6.661000,
2.496000,
3.221000,
6.773000,
6.541000,
6.374000,
2.349000,
2.695000,
6.378000,
6.756000,
6.589000,
2.492000,
2.620000,
6.295000,
6.324000,
2.253000,
2.524000,
6.279000,
6.765000,
6.543000,
2.310000,
2.555000,
6.533000,
6.500000,
6.550000,
7.077000,
3.084000,
2.629000,
2.558000,
6.283000,
6.464000,
1.912000,
2.101000,
6.564000,
6.077000,
2.616000,
2.513000,
6.611000,
6.087000,
2.110000,
2.341000,
6.311000,
6.405000,
6.642000,
6.972000,
7.478000,
7.515000,
7.947000,
7.870000,
7.937000,
7.603000,
7.467000,
7.976000,
8.194000,
7.976000,
7.622000,
7.923000,
8.593000,
3.473000,
7.413000,
7.556000,
7.684000,
7.198000,
7.955000,
7.648000,
8.703000,
7.740000,
9.563000,
12.22100,
7.404000,
8.281000,
7.591000,
2.960000,
3.465000,
7.397000,
7.892000,
7.990000,
8.403000,
8.548000,
7.697000,
8.710000,
12.69600,
7.137000,
7.797000,
7.598000,
8.528000,
7.463000,
8.052000,
8.545000,
8.410000,
8.472000,
13.14600,
8.641000,
8.171000,
8.496000,
9.520000,
8.789000,
8.153000,
8.782000,
8.571000,
8.857000,
7.834000,
9.021000,
3.300000,
7.889000,
8.344000,
3.367000,
7.658000,
7.990000,
7.287000,
7.451000,
8.152000,
7.071000,
7.387000,
7.394000,
7.566000,
7.238000,
7.755000,
7.391000,
7.427000,
7.495000,
7.168000,
8.304000,
2.636000,
3.507000,
3.596000,
8.185000,
7.570000,
7.175000,
7.387000,
3.254000,
2.354000,
7.021000,
7.487000,
3.326000,
3.359000,
2.959000,
3.058000,
7.816000,
7.196000,
7.343000,
7.166000,
3.516000,
2.810000,
2.575000,
7.724000,
7.034000,
7.043000,
6.694000,
7.366000,
7.487000,
6.676000,
7.568000,
7.331000,
6.908000,
7.595000,
6.872000,
7.241000,
3.031000,
6.427000,
7.890000,
3.200000,
3.033000,
3.132000,
7.639000,
7.551000,
6.748000,
6.923000,
7.492000,
7.425000,
7.054000,
6.832000,
8.138000,
3.770000,
7.293000,
7.172000,
8.022000,
6.939000,
6.863000,
7.486000,
7.982000,
2.907000,
7.685000,
8.380000,
7.031000,
6.774000,
7.511000,
7.433000,
7.129000,
7.461000,
3.123000,
7.668000,
7.602000,
7.016000,
7.067000,
7.387000,
6.772000,
6.871000,
7.430000,
7.063000,
6.812000,
7.161000,
7.285000,
6.937000,
6.425000,
6.383000,
6.836000,
7.126000,
7.097000,
7.463000,
7.326000,
7.171000,
6.735000,
7.088000,
6.700000,
7.650000,
6.870000,
7.133000,
7.452000,
8.015000,
2.969000,
2.497000,
6.917000,
6.997000,
7.051000,
6.955000,
6.577000,
7.313000,
7.266000,
7.005000,
6.809000,
7.378000,
6.955000,
6.650000,
7.434000,
6.604000,
7.125000,
6.764000,
7.110000,
7.456000,
7.007000,
7.300000,
6.797000,
6.706000,
7.754000,
7.511000,
2.907000,
2.900000,
3.515000,
2.862000,
3.019000,
3.165000,
7.432000,
7.465000,
7.207000,
7.662000,
7.884000,
7.577000,
7.270000,
6.990000,
7.989000,
7.076000,
6.978000,
8.026000,
8.177000,
6.673000,
7.544000,
7.899000,
7.266000,
8.405000,
2.640000,
2.886000,
2.958000,
6.833000,
6.341000,
6.964000,
6.409000,
2.659000,
2.478000,
6.895000,
6.240000,
6.778000,
6.617000,
2.579000,
2.682000,
6.341000,
6.610000,
6.669000,
7.229000,
2.565000,
2.524000,
7.187000,
6.795000,
6.326000,
6.455000,
2.355000,
7.280000,
6.989000,
6.798000,
6.611000,
6.865000,
6.649000,
2.649000,
2.582000,
6.951000,
6.293000,
6.663000,
6.978000,
